name,type,mana_cost,power,toughness,rarity,colors,text
Exemplar of Light,Creature — Angel,{2}{W}{W},3,3,rare,W,"Flying
Whenever you gain life, put a +1/+1 counter on this creature.
Whenever you put one or more +1/+1 counters on this creature, draw a card. This ability triggers only once each turn."
Felidar Savior,Creature — Cat Beast,{3}{W},2,3,common,W,"Lifelink (Damage dealt by this creature also causes you to gain that much life.)
When this creature enters, put a +1/+1 counter on each of up to two other target creatures you control."
Fleeting Flight,Instant,{W},,,common,W,Put a +1/+1 counter on target creature. It gains flying until end of turn. Prevent all combat damage that would be dealt to it this turn.
Guarded Heir,Creature — Human Noble,{5}{W},1,1,uncommon,W,"Lifelink (Damage dealt by this creature also causes you to gain that much life.)
When this creature enters, create two 3/3 white Knight creature tokens."
Hare Apparent,Creature — Rabbit Noble,{1}{W},2,2,common,W,"When this creature enters, create a number of 1/1 white Rabbit creature tokens equal to the number of other creatures you control named Hare Apparent.
A deck can have any number of cards named Hare Apparent."
Helpful Hunter,Creature — Cat,{1}{W},1,1,common,W,"When this creature enters, draw a card."
Herald of Eternal Dawn,Creature — Angel,{4}{W}{W}{W},6,6,mythic,W,"Flash (You may cast this spell any time you could cast an instant.)
Flying
You can't lose the game and your opponents can't win the game."
Inspiring Paladin,Creature — Human Knight,{2}{W},3,3,common,W,"During your turn, this creature has first strike. (It deals combat damage before creatures without first strike.)
During your turn, creatures you control with +1/+1 counters on them have first strike."
Joust Through,Instant,{W},,,uncommon,W,Joust Through deals 3 damage to target attacking or blocking creature. You gain 1 life.
Luminous Rebuke,Instant,{4}{W},,,common,W,"This spell costs {3} less to cast if it targets a tapped creature.
Destroy target creature."
Prideful Parent,Creature — Cat,{2}{W},2,2,common,W,"Vigilance (Attacking doesn't cause this creature to tap.)
When this creature enters, create a 1/1 white Cat creature token."
Raise the Past,Sorcery,{2}{W}{W},,,rare,W,Return all creature cards with mana value 2 or less from your graveyard to the battlefield.
Skyknight Squire,Creature — Cat Scout,{1}{W},1,1,rare,W,"Whenever another creature you control enters, put a +1/+1 counter on this creature.
As long as this creature has three or more +1/+1 counters on it, it has flying and is a Knight in addition to its other types."
Squad Rallier,Creature — Human Scout,{3}{W},3,4,common,W,{2}{W}: Look at the top four cards of your library. You may reveal a creature card with power 2 or less from among them and put it into your hand. Put the rest on the bottom of your library in a random order.
Sun-Blessed Healer,Creature — Human Cleric,{1}{W},3,1,uncommon,W,"Kicker {1}{W} (You may pay an additional {1}{W} as you cast this spell.)
Lifelink (Damage dealt by this creature also causes you to gain that much life.)
When this creature enters, if it was kicked, return target nonland permanent card with mana value 2 or less from your graveyard to the battlefield."
Twinblade Blessing,Enchantment — Aura,{1}{W}{W},,,uncommon,W,"Flash (You may cast this spell any time you could cast an instant.)
Enchant creature
Enchanted creature has double strike. (It deals both first-strike and regular combat damage.)"
Valkyrie's Call,Enchantment,{3}{W}{W},,,mythic,W,"Whenever a nontoken, non-Angel creature you control dies, return that card to the battlefield under its owner's control with a +1/+1 counter on it. It has flying and is an Angel in addition to its other types."
Vanguard Seraph,Creature — Angel Warrior,{3}{W},3,3,common,W,"Flying
Whenever you gain life for the first time each turn, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)"
Arcane Epiphany,Instant,{3}{U}{U},,,uncommon,U,"This spell costs {1} less to cast if you control a Wizard.
Draw three cards."
Archmage of Runes,Creature — Giant Wizard,{3}{U}{U},3,6,rare,U,"Instant and sorcery spells you cast cost {1} less to cast.
Whenever you cast an instant or sorcery spell, draw a card."
Bigfin Bouncer,Creature — Shark Pirate,{3}{U},3,2,common,U,"When this creature enters, return target creature an opponent controls to its owner's hand."
Cephalid Inkmage,Creature — Octopus Wizard,{2}{U},2,2,uncommon,U,"When this creature enters, surveil 3. (Look at the top three cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)
Threshold — This creature can't be blocked as long as there are seven or more cards in your graveyard."
Clinquant Skymage,Creature — Bird Wizard,{3}{U},1,1,uncommon,U,"Flying
Whenever you draw a card, put a +1/+1 counter on this creature."
Curator of Destinies,Creature — Sphinx,{4}{U}{U},5,5,rare,U,"This spell can't be countered.
Flying
When this creature enters, look at the top five cards of your library and separate them into a face-down pile and a face-up pile. An opponent chooses one of those piles. Put that pile into your hand and the other into your graveyard."
Drake Hatcher,Creature — Human Wizard,{1}{U},1,3,rare,U,"Vigilance, prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)
Whenever this creature deals combat damage to a player, put that many incubation counters on it.
Remove three incubation counters from this creature: Create a 2/2 blue Drake creature token with flying."
Elementalist Adept,Creature — Human Wizard,{1}{U},2,1,common,U,"Flash (You may cast this spell any time you could cast an instant.)
Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)"
Erudite Wizard,Creature — Human Wizard,{2}{U},2,3,common,U,"Whenever you draw your second card each turn, put a +1/+1 counter on this creature."
Faebloom Trick,Instant,{2}{U},,,uncommon,U,"Create two 1/1 blue Faerie creature tokens with flying. When you do, tap target creature an opponent controls."
Grappling Kraken,Creature — Kraken,{4}{U}{U},5,6,uncommon,U,"Landfall — Whenever a land you control enters, tap target creature an opponent controls and put a stun counter on it. (If a permanent with a stun counter would become untapped, remove one from it instead.)"
High Fae Trickster,Creature — Faerie Wizard,{3}{U},4,2,rare,U,"Flash (You may cast this spell any time you could cast an instant.)
Flying
You may cast spells as though they had flash."
Homunculus Horde,Creature — Homunculus,{3}{U},2,2,rare,U,"Whenever you draw your second card each turn, create a token that's a copy of this creature."
Icewind Elemental,Creature — Elemental,{4}{U},3,4,common,U,"Flying
When this creature enters, draw a card, then discard a card."
Inspiration from Beyond,Sorcery,{2}{U},,,uncommon,U,"Mill three cards, then return an instant or sorcery card from your graveyard to your hand.
Flashback {5}{U}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
"Kaito, Cunning Infiltrator",Legendary Planeswalker — Kaito,{1}{U}{U},,,mythic,U,"Whenever a creature you control deals combat damage to a player, put a loyalty counter on Kaito.
[+1]: Up to one target creature you control can't be blocked this turn. Draw a card, then discard a card.
[−2]: Create a 2/1 blue Ninja creature token.
[−9]: You get an emblem with ""Whenever a player casts a spell, you create a 2/1 blue Ninja creature token."""
"Kiora, the Rising Tide",Legendary Creature — Merfolk Noble,{2}{U},3,2,rare,U,"When Kiora enters, draw two cards, then discard two cards.
Threshold — Whenever Kiora attacks, if there are seven or more cards in your graveyard, you may create Scion of the Deep, a legendary 8/8 blue Octopus creature token."
Lunar Insight,Sorcery,{2}{U},,,rare,U,Draw a card for each different mana value among nonland permanents you control.
Mischievous Mystic,Creature — Human Wizard,{1}{U},2,1,uncommon,U,"Flying
Whenever you draw your second card each turn, create a 1/1 blue Faerie creature token with flying."
Refute,Instant,{1}{U}{U},,,common,U,"Counter target spell. Draw a card, then discard a card."
Rune-Sealed Wall,Artifact Creature — Wall,{2}{U},0,6,uncommon,U,"Defender
{T}: Surveil 1. (Look at the top card of your library. You may put it into your graveyard.)"
Skyship Buccaneer,Creature — Human Pirate,{3}{U}{U},4,3,uncommon,U,"Flying
Raid — When this creature enters, if you attacked this turn, draw a card."
Sphinx of Forgotten Lore,Creature — Sphinx,{2}{U}{U},3,3,mythic,U,"Flash (You may cast this spell any time you could cast an instant.)
Flying
Whenever this creature attacks, target instant or sorcery card in your graveyard gains flashback until end of turn. The flashback cost is equal to that card's mana cost. (You may cast that card from your graveyard for its flashback cost. Then exile it.)"
Strix Lookout,Creature — Bird,{1}{U},1,2,common,U,"Flying, vigilance (Attacking doesn't cause this creature to tap.)
{1}{U}, {T}: Draw a card, then discard a card."
Uncharted Voyage,Instant,{3}{U},,,common,U,"Target creature's owner puts it on their choice of the top or bottom of their library.
Surveil 1. (Look at the top card of your library. You may put it into your graveyard.)"
Abyssal Harvester,Creature — Demon Warlock,{1}{B}{B},3,2,rare,B,"{T}: Exile target creature card from a graveyard that was put there this turn. Create a token that's a copy of it, except it's a Nightmare in addition to its other types. Then exile all other Nightmare tokens you control."
Arbiter of Woe,Creature — Demon,{4}{B}{B},5,4,uncommon,B,"As an additional cost to cast this spell, sacrifice a creature.
Flying
When this creature enters, each opponent discards a card and loses 2 life. You draw a card and gain 2 life."
Billowing Shriekmass,Creature — Spirit,{3}{B},2,3,uncommon,B,"Flying
When this creature enters, mill three cards. (Put the top three cards of your library into your graveyard.)
Threshold — This creature gets +2/+1 as long as there are seven or more cards in your graveyard."
Blasphemous Edict,Sorcery,{3}{B}{B},,,rare,B,"You may pay {B} rather than pay this spell's mana cost if there are thirteen or more creatures on the battlefield.
Each player sacrifices thirteen creatures of their choice."
Bloodthirsty Conqueror,Creature — Vampire Knight,{3}{B}{B},5,5,mythic,B,"Flying, deathtouch
Whenever an opponent loses life, you gain that much life. (Damage causes loss of life.)"
Crypt Feaster,Creature — Zombie,{3}{B},3,4,common,B,"Menace (This creature can't be blocked except by two or more creatures.)
Threshold — Whenever this creature attacks, if there are seven or more cards in your graveyard, this creature gets +2/+0 until end of turn."
Gutless Plunderer,Creature — Skeleton Pirate,{2}{B},2,2,common,B,"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
Raid — When this creature enters, if you attacked this turn, look at the top three cards of your library. You may put one of those cards back on top of your library. Put the rest into your graveyard."
High-Society Hunter,Creature — Vampire Noble,{3}{B}{B},5,3,rare,B,"Flying
Whenever this creature attacks, you may sacrifice another creature. If you do, put a +1/+1 counter on this creature.
Whenever another nontoken creature dies, draw a card."
Hungry Ghoul,Creature — Zombie,{1}{B},2,2,common,B,"{1}, Sacrifice another creature: Put a +1/+1 counter on this creature."
Infernal Vessel,Creature — Human Cleric,{2}{B},2,1,uncommon,B,"When this creature dies, if it wasn't a Demon, return it to the battlefield under its owner's control with two +1/+1 counters on it. It's a Demon in addition to its other types."
Infestation Sage,Creature — Elf Warlock,{B},1,1,common,B,"When this creature dies, create a 1/1 black and green Insect creature token with flying."
Midnight Snack,Enchantment,{2}{B},,,uncommon,B,"Raid — At the beginning of your end step, if you attacked this turn, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")
{2}{B}, Sacrifice this enchantment: Target opponent loses X life, where X is the amount of life you gained this turn."
Nine-Lives Familiar,Creature — Cat,{1}{B}{B},1,1,rare,B,"This creature enters with eight revival counters on it if you cast it.
When this creature dies, if it had a revival counter on it, return it to the battlefield with one fewer revival counter on it at the beginning of the next end step."
Revenge of the Rats,Sorcery,{2}{B}{B},,,uncommon,B,"Create a tapped 1/1 black Rat creature token for each creature card in your graveyard.
Flashback {2}{B}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
Sanguine Syphoner,Creature — Vampire Warlock,{1}{B},1,3,common,B,"Whenever this creature attacks, each opponent loses 1 life and you gain 1 life."
Seeker's Folly,Sorcery,{2}{B},,,uncommon,B,"Choose one —
• Target opponent discards two cards.
• Creatures your opponents control get -1/-1 until end of turn."
Soul-Shackled Zombie,Creature — Zombie,{3}{B},4,2,common,B,"When this creature enters, exile up to two target cards from a single graveyard. If at least one creature card was exiled this way, each opponent loses 2 life and you gain 2 life."
Stab,Instant,{B},,,common,B,Target creature gets -2/-2 until end of turn.
"Tinybones, Bauble Burglar",Legendary Creature — Skeleton Rogue,{1}{B},1,3,rare,B,"Whenever an opponent discards a card, exile it from their graveyard with a stash counter on it.
During your turn, you may play cards you don't own with stash counters on them from exile, and mana of any type can be spent to cast those spells.
{3}{B}, {T}: Each opponent discards a card. Activate only as a sorcery."
Tragic Banshee,Creature — Spirit,{4}{B},5,3,uncommon,B,"Morbid — When this creature enters, target creature an opponent controls gets -1/-1 until end of turn. If a creature died this turn, that creature gets -13/-13 until end of turn instead."
Vampire Gourmand,Creature — Vampire,{1}{B},2,2,uncommon,B,"Whenever this creature attacks, you may sacrifice another creature. If you do, draw a card and this creature can't be blocked this turn."
Vampire Soulcaller,Creature — Vampire Warlock,{4}{B},3,2,common,B,"Flying
This creature can't block.
When this creature enters, return target creature card from your graveyard to your hand."
Vengeful Bloodwitch,Creature — Vampire Warlock,{1}{B},1,1,uncommon,B,"Whenever this creature or another creature you control dies, target opponent loses 1 life and you gain 1 life."
"Zul Ashur, Lich Lord",Legendary Creature — Zombie Warlock,{1}{B},2,2,rare,B,"Ward—Pay 2 life. (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays 2 life.)
{T}: You may cast target Zombie creature card from your graveyard this turn."
Battlesong Berserker,Creature — Human Berserker,{3}{R},3,4,uncommon,R,"Whenever you attack, target creature you control gets +1/+0 and gains menace until end of turn. (It can't be blocked except by two or more creatures.)"
Boltwave,Sorcery,{R},,,uncommon,R,Boltwave deals 3 damage to each opponent.
Bulk Up,Instant,{1}{R},,,uncommon,R,"Double target creature's power until end of turn.
Flashback {4}{R}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
"Chandra, Flameshaper",Legendary Planeswalker — Chandra,{5}{R}{R},,,mythic,R,"[+2]: Add {R}{R}{R}. Exile the top three cards of your library. Choose one. You may play that card this turn.
[+1]: Create a token that's a copy of target creature you control, except it has haste and ""At the beginning of the end step, sacrifice this token.""
[−4]: Chandra deals 8 damage divided as you choose among any number of target creatures and/or planeswalkers."
Courageous Goblin,Creature — Goblin,{1}{R},2,2,common,R,"Whenever this creature attacks while you control a creature with power 4 or greater, this creature gets +1/+0 and gains menace until end of turn. (It can't be blocked except by two or more creatures.)"
Crackling Cyclops,Creature — Cyclops Wizard,{2}{R},0,4,common,R,"Whenever you cast a noncreature spell, this creature gets +3/+0 until end of turn."
Dragon Trainer,Creature — Human,{3}{R}{R},1,1,uncommon,R,"When this creature enters, create a 4/4 red Dragon creature token with flying."
Electroduplicate,Sorcery,{2}{R},,,rare,R,"Create a token that's a copy of target creature you control, except it has haste and ""At the beginning of the end step, sacrifice this token.""
Flashback {2}{R}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
Fiery Annihilation,Instant,{2}{R},,,uncommon,R,"Fiery Annihilation deals 5 damage to target creature. Exile up to one target Equipment attached to that creature. If that creature would die this turn, exile it instead."
Goblin Boarders,Creature — Goblin Pirate,{2}{R},3,2,common,R,Raid — This creature enters with a +1/+1 counter on it if you attacked this turn.
Goblin Negotiation,Sorcery,{X}{R}{R},,,uncommon,R,Goblin Negotiation deals X damage to target creature. Create a number of 1/1 red Goblin creature tokens equal to the amount of excess damage dealt to that creature this way.
Gorehorn Raider,Creature — Minotaur Pirate,{4}{R},4,4,common,R,"Raid — When this creature enters, if you attacked this turn, this creature deals 2 damage to any target."
Incinerating Blast,Sorcery,{4}{R},,,common,R,"Incinerating Blast deals 6 damage to target creature.
You may discard a card. If you do, draw a card."
"Kellan, Planar Trailblazer",Legendary Creature — Human Faerie Scout,{R},2,1,rare,R,"{1}{R}: If Kellan is a Scout, it becomes a Human Faerie Detective and gains ""Whenever Kellan deals combat damage to a player, exile the top card of your library. You may play that card this turn.""
{2}{R}: If Kellan is a Detective, it becomes a 3/2 Human Faerie Rogue and gains double strike."
Rite of the Dragoncaller,Enchantment,{4}{R}{R},,,mythic,R,"Whenever you cast an instant or sorcery spell, create a 5/5 red Dragon creature token with flying."
Searslicer Goblin,Creature — Goblin Warrior,{1}{R},2,1,rare,R,"Raid — At the beginning of your end step, if you attacked this turn, create a 1/1 red Goblin creature token."
Slumbering Cerberus,Creature — Dog,{1}{R},4,2,uncommon,R,"This creature doesn't untap during your untap step.
Morbid — At the beginning of each end step, if a creature died this turn, untap this creature."
Sower of Chaos,Creature — Devil,{3}{R},4,3,common,R,{2}{R}: Target creature can't block this turn.
Strongbox Raider,Creature — Orc Pirate,{2}{R}{R},5,2,uncommon,R,"Raid — When this creature enters, if you attacked this turn, exile the top two cards of your library. Choose one of them. Until the end of your next turn, you may play that card."
Twinflame Tyrant,Creature — Dragon,{3}{R}{R},3,5,mythic,R,"Flying
If a source you control would deal damage to an opponent or a permanent an opponent controls, it deals double that damage instead."
Ambush Wolf,Creature — Wolf,{2}{G},4,2,common,G,"Flash (You may cast this spell any time you could cast an instant.)
When this creature enters, exile up to one target card from a graveyard."
Apothecary Stomper,Creature — Elephant,{4}{G}{G},4,4,common,G,"Vigilance (Attacking doesn't cause this creature to tap.)
When this creature enters, choose one —
• Put two +1/+1 counters on target creature you control.
• You gain 4 life."
Beast-Kin Ranger,Creature — Elf Ranger,{2}{G},3,3,common,G,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
Whenever another creature you control enters, this creature gets +1/+0 until end of turn."
Cackling Prowler,Creature — Hyena Rogue,{3}{G},4,3,common,G,"Ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)
Morbid — At the beginning of your end step, if a creature died this turn, put a +1/+1 counter on this creature."
Eager Trufflesnout,Creature — Boar,{2}{G},4,2,uncommon,G,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
Whenever this creature deals combat damage to a player, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")"
Elfsworn Giant,Creature — Giant,{3}{G}{G},5,3,common,G,"Reach (This creature can block creatures with flying.)
Landfall — Whenever a land you control enters, create a 1/1 green Elf Warrior creature token."
Elvish Regrower,Creature — Elf Druid,{2}{G}{G},4,3,uncommon,G,"When this creature enters, return target permanent card from your graveyard to your hand."
Felling Blow,Sorcery,{2}{G},,,uncommon,G,Put a +1/+1 counter on target creature you control. Then that creature deals damage equal to its power to target creature an opponent controls.
"Loot, Exuberant Explorer",Legendary Creature — Beast Noble,{2}{G},1,4,rare,G,"You may play an additional land on each of your turns.
{4}{G}{G}, {T}: Look at the top six cards of your library. You may reveal a creature card with mana value less than or equal to the number of lands you control from among them and put it onto the battlefield. Put the rest on the bottom in a random order."
Mossborn Hydra,Creature — Elemental Hydra,{2}{G},0,0,rare,G,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
This creature enters with a +1/+1 counter on it.
Landfall — Whenever a land you control enters, double the number of +1/+1 counters on this creature."
Needletooth Pack,Creature — Dinosaur,{3}{G}{G},4,5,uncommon,G,"Morbid — At the beginning of your end step, if a creature died this turn, put two +1/+1 counters on target creature you control."
Preposterous Proportions,Sorcery,{5}{G}{G},,,rare,G,Creatures you control get +10/+10 and gain vigilance until end of turn.
Quakestrider Ceratops,Creature — Dinosaur,{3}{G}{G}{G},12,8,uncommon,G,
Quilled Greatwurm,Creature — Wurm,{4}{G}{G},7,7,mythic,G,"Trample
Whenever a creature you control deals combat damage during your turn, put that many +1/+1 counters on it. (It must survive to get the counters.)
You may cast this card from your graveyard by removing six counters from among creatures you control in addition to paying its other costs."
Spinner of Souls,Creature — Spider Spirit,{2}{G},4,3,rare,G,"Reach
Whenever another nontoken creature you control dies, you may reveal cards from the top of your library until you reveal a creature card. Put that card into your hand and the rest on the bottom of your library in a random order."
Sylvan Scavenging,Enchantment,{1}{G}{G},,,rare,G,"At the beginning of your end step, choose one —
• Put a +1/+1 counter on target creature you control.
• Create a 3/3 green Raccoon creature token if you control a creature with power 4 or greater."
Treetop Snarespinner,Creature — Spider,{3}{G},1,4,common,G,"Reach (This creature can block creatures with flying.)
Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
{2}{G}: Put a +1/+1 counter on target creature you control. Activate only as a sorcery."
"Alesha, Who Laughs at Fate",Legendary Creature — Human Warrior,{1}{B}{R},2,2,rare,"B,R","First strike
Whenever Alesha attacks, put a +1/+1 counter on it.
Raid — At the beginning of your end step, if you attacked this turn, return target creature card with mana value less than or equal to Alesha's power from your graveyard to the battlefield."
Anthem of Champions,Enchantment,{G}{W},,,rare,"G,W",Creatures you control get +1/+1.
Ashroot Animist,Creature — Lizard Druid,{2}{R}{G},4,4,rare,"G,R","Trample
Whenever this creature attacks, another target creature you control gains trample and gets +X/+X until end of turn, where X is this creature's power."
Dreadwing Scavenger,Creature — Nightmare Bird,{1}{U}{B},2,2,uncommon,"B,U","Flying
Whenever this creature enters or attacks, draw a card, then discard a card.
Threshold — This creature gets +1/+1 and has deathtouch as long as there are seven or more cards in your graveyard."
"Elenda, Saint of Dusk",Legendary Creature — Vampire Knight,{2}{W}{B},4,4,rare,"B,W","Lifelink, hexproof from instants
As long as your life total is greater than your starting life total, Elenda gets +1/+1 and has menace. Elenda gets an additional +5/+5 as long as your life total is at least 10 greater than your starting life total."
Fiendish Panda,Creature — Bear Demon,{2}{W}{B},3,2,uncommon,"B,W","Whenever you gain life, put a +1/+1 counter on this creature.
When this creature dies, return another target non-Bear creature card with mana value less than or equal to this creature's power from your graveyard to the battlefield."
"Koma, World-Eater",Legendary Creature — Serpent,{3}{G}{G}{U}{U},8,12,rare,"G,U","This spell can't be countered.
Trample, ward {4}
Whenever Koma deals combat damage to a player, create four 3/3 blue Serpent creature tokens named Koma's Coil."
"Kykar, Zephyr Awakener",Legendary Creature — Bird Wizard,{2}{W}{U},3,4,rare,"U,W","Flying
Whenever you cast a noncreature spell, choose one —
• Exile another target creature you control. Return that card to the battlefield under its owner's control at the beginning of the next end step.
• Create a 1/1 white Spirit creature token with flying."
"Niv-Mizzet, Visionary",Legendary Creature — Dragon Wizard,{4}{U}{R},5,5,mythic,"R,U","Flying
You have no maximum hand size.
Whenever a source you control deals noncombat damage to an opponent, you draw that many cards."
Perforating Artist,Creature — Devil,{1}{B}{R},3,2,uncommon,"B,R","Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
Raid — At the beginning of your end step, if you attacked this turn, each opponent loses 3 life unless that player sacrifices a nonland permanent of their choice or discards a card."
Wardens of the Cycle,Creature — Elf Warlock,{1}{B}{G}{G},3,4,uncommon,"B,G","Morbid — At the beginning of your end step, if a creature died this turn, choose one —
• You gain 2 life.
• You draw a card and you lose 1 life."
"Zimone, Paradox Sculptor",Legendary Creature — Human Wizard,{2}{G}{U},1,4,mythic,"G,U","At the beginning of combat on your turn, put a +1/+1 counter on each of up to two target creatures you control.
{G}{U}, {T}: Double the number of each kind of counter on up to two target creatures and/or artifacts you control."
Banner of Kinship,Artifact,{5},,,rare,,"As this artifact enters, choose a creature type. This artifact enters with a fellowship counter on it for each creature you control of the chosen type.
Creatures you control of the chosen type get +1/+1 for each fellowship counter on this artifact."
Fishing Pole,Artifact — Equipment,{1},,,uncommon,,"Equipped creature has ""{1}, {T}, Tap Fishing Pole: Put a bait counter on Fishing Pole.""
Whenever equipped creature becomes untapped, remove a bait counter from this Equipment. If you do, create a 1/1 blue Fish creature token.
Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)"
Leyline Axe,Artifact — Equipment,{4},,,rare,,"If this card is in your opening hand, you may begin the game with it on the battlefield.
Equipped creature gets +1/+1 and has double strike and trample.
Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)"
Quick-Draw Katana,Artifact — Equipment,{2},,,common,,"During your turn, equipped creature gets +2/+0 and has first strike. (It deals combat damage before creatures without first strike.)
Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)"
Ravenous Amulet,Artifact,{2},,,uncommon,,"{1}, {T}, Sacrifice a creature: Draw a card and put a soul counter on this artifact. Activate only as a sorcery.
{4}, {T}, Sacrifice this artifact: Each opponent loses life equal to the number of soul counters on this artifact."
Scrawling Crawler,Artifact Creature — Phyrexian Construct,{3},3,2,rare,,"At the beginning of your upkeep, each player draws a card.
Whenever an opponent draws a card, that player loses 1 life."
Soulstone Sanctuary,Land,,,,rare,,"{T}: Add {C}.
{4}: This land becomes a 3/3 creature with vigilance and all creature types. It's still a land."
"Ajani, Caller of the Pride",Legendary Planeswalker — Ajani,{1}{W}{W},,,mythic,W,"[+1]: Put a +1/+1 counter on up to one target creature.
[−3]: Target creature gains flying and double strike until end of turn.
[−8]: Create X 2/2 white Cat creature tokens, where X is your life total."
Ajani's Pridemate,Creature — Cat Soldier,{1}{W},2,2,uncommon,W,"Whenever you gain life, put a +1/+1 counter on this creature."
Angel of Finality,Creature — Angel,{3}{W},3,4,uncommon,W,"Flying
When this creature enters, exile target player's graveyard."
Authority of the Consuls,Enchantment,{W},,,rare,W,"Creatures your opponents control enter tapped.
Whenever a creature an opponent controls enters, you gain 1 life."
Banishing Light,Enchantment,{2}{W},,,common,W,"When this enchantment enters, exile target nonland permanent an opponent controls until this enchantment leaves the battlefield."
Cathar Commando,Creature — Human Soldier,{1}{W},3,1,common,W,"Flash
{1}, Sacrifice this creature: Destroy target artifact or enchantment."
Day of Judgment,Sorcery,{2}{W}{W},,,rare,W,Destroy all creatures.
"Giada, Font of Hope",Legendary Creature — Angel,{1}{W},2,2,rare,W,"Flying, vigilance
Each other Angel you control enters with an additional +1/+1 counter on it for each Angel you already control.
{T}: Add {W}. Spend this mana only to cast an Angel spell."
Healer's Hawk,Creature — Bird,{W},1,1,common,W,"Flying
Lifelink (Damage dealt by this creature also causes you to gain that much life.)"
Make Your Move,Instant,{2}{W},,,common,W,"Destroy target artifact, enchantment, or creature with power 4 or greater."
Mischievous Pup,Creature — Dog,{2}{W},3,1,uncommon,W,"Flash (You may cast this spell any time you could cast an instant.)
When this creature enters, return up to one other target permanent you control to its owner's hand."
Resolute Reinforcements,Creature — Human Soldier,{1}{W},1,1,uncommon,W,"Flash (You may cast this spell any time you could cast an instant.)
When this creature enters, create a 1/1 white Soldier creature token."
Savannah Lions,Creature — Cat,{W},2,1,uncommon,W,
Serra Angel,Creature — Angel,{3}{W}{W},4,4,uncommon,W,"Flying
Vigilance (Attacking doesn't cause this creature to tap.)"
Stroke of Midnight,Instant,{2}{W},,,uncommon,W,Destroy target nonland permanent. Its controller creates a 1/1 white Human creature token.
Youthful Valkyrie,Creature — Angel,{1}{W},1,3,uncommon,W,"Flying
Whenever another Angel you control enters, put a +1/+1 counter on this creature."
Aegis Turtle,Creature — Turtle,{U},0,5,common,U,
